Date : 2025-03-22 23:01:37
Directory : /Applications/MAMP/htdocs/www/NSIGHT_PROJECT/nsight-frontend
Total : 221 files,  46379 codes, 4601 comments, 5575 blanks, all 56555 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          2 |     16,597 |          0 |          2 |     16,599 |
| Vue                |         69 |     12,244 |      1,277 |      1,525 |     15,046 |
| JavaScript         |        101 |      9,458 |      2,514 |      2,119 |     14,091 |
| SCSS               |          5 |      6,586 |        321 |      1,564 |      8,471 |
| TypeScript         |         36 |      1,281 |        487 |        326 |      2,094 |
| HTML               |          2 |         86 |          0 |          0 |         86 |
| CSS                |          1 |         61 |          1 |          7 |         69 |
| Markdown           |          2 |         53 |          0 |         29 |         82 |
| YAML               |          1 |          7 |          0 |          1 |          8 |
| JSON with Comments |          2 |          6 |          1 |          2 |          9 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                              |        221 |     46,379 |      4,601 |      5,575 |     56,555 |
| . (Files)                                                                                                                      |          9 |     16,914 |         19 |         40 |     16,973 |
| assets                                                                                                                         |          8 |      6,691 |        322 |      1,572 |      8,585 |
| assets/css                                                                                                                     |          1 |         61 |          1 |          7 |         69 |
| assets/emails                                                                                                                  |          1 |         43 |          0 |          0 |         43 |
| assets/js                                                                                                                      |          1 |          1 |          0 |          1 |          2 |
| assets/scss                                                                                                                    |          4 |      6,512 |        314 |      1,549 |      8,375 |
| assets/scss (Files)                                                                                                            |          1 |          0 |          0 |          1 |          1 |
| assets/scss/lib                                                                                                                |          3 |      6,512 |        314 |      1,548 |      8,374 |
| assets/style                                                                                                                   |          1 |         74 |          7 |         15 |         96 |
| components                                                                                                                     |         28 |      4,165 |        332 |        412 |      4,909 |
| components/account                                                                                                             |          4 |      2,196 |        100 |        110 |      2,406 |
| components/chat                                                                                                                |          7 |        362 |         31 |         54 |        447 |
| components/chat (Files)                                                                                                        |          2 |         18 |          2 |          2 |         22 |
| components/chat-2                                                                                                              |          4 |         27 |          2 |          2 |         31 |
| components/chat-2 (Files)                                                                                                      |          1 |          9 |          1 |          1 |         11 |
| components/chat-2/comp                                                                                                         |          3 |         18 |          1 |          1 |         20 |
| components/chat/comp                                                                                                           |          5 |        344 |         29 |         52 |        425 |
| components/common                                                                                                              |          6 |        575 |         66 |         98 |        739 |
| components/common (Files)                                                                                                      |          4 |        545 |         65 |         94 |        704 |
| components/common/icons                                                                                                        |          2 |         30 |          1 |          4 |         35 |
| components/dashboard                                                                                                           |          1 |         45 |          7 |          5 |         57 |
| components/products                                                                                                            |          2 |        164 |          8 |         20 |        192 |
| components/template                                                                                                            |          4 |        796 |        118 |        123 |      1,037 |
| components/template (Files)                                                                                                    |          1 |        399 |         69 |         61 |        529 |
| components/template/components                                                                                                 |          3 |        397 |         49 |         62 |        508 |
| components/template/components/friend-requests                                                                                 |          1 |        106 |          9 |         17 |        132 |
| components/template/components/search                                                                                          |          2 |        291 |         40 |         45 |        376 |
| composables                                                                                                                    |          1 |          7 |          0 |          1 |          8 |
| directives                                                                                                                     |          1 |          4 |          0 |          2 |          6 |
| hooks                                                                                                                          |          1 |         11 |          0 |          4 |         15 |
| layouts                                                                                                                        |          3 |         26 |          3 |          3 |         32 |
| middleware                                                                                                                     |          2 |         14 |          0 |          2 |         16 |
| pages                                                                                                                          |         38 |      8,047 |        942 |      1,110 |     10,099 |
| pages/account                                                                                                                  |          6 |      1,117 |         86 |        234 |      1,437 |
| pages/account (Files)                                                                                                          |          2 |        604 |         25 |        110 |        739 |
| pages/account/components                                                                                                       |          4 |        513 |         61 |        124 |        698 |
| pages/cart                                                                                                                     |          2 |        152 |         13 |         21 |        186 |
| pages/cart (Files)                                                                                                             |          1 |         89 |          8 |         15 |        112 |
| pages/cart/components                                                                                                          |          1 |         63 |          5 |          6 |         74 |
| pages/checkout                                                                                                                 |          2 |      1,299 |        192 |        167 |      1,658 |
| pages/confirm-email                                                                                                            |          1 |         41 |          0 |          2 |         43 |
| pages/confirm-order                                                                                                            |          1 |          3 |          0 |          0 |          3 |
| pages/forgot-password                                                                                                          |          1 |         75 |         13 |          8 |         96 |
| pages/friends                                                                                                                  |          5 |      1,248 |        175 |        122 |      1,545 |
